а	ᠪ	б	521
а	ᠳ᠋ᠤᠭᠠᠷ	дугаар	277
а	ᠠ	а	202
аа	ᠬᠥ	хө	163
аа	ᠭᠡᠬᠦ ᠳᠦ	гэхэд	158
аа	ᠭᠡᠵᠦ	гэж	136
аав	ᠡᠵᠢ	ээж	904
аав	ᠨᠢ	нь	474
аав	ᠮᠢᠨᠢ	минь	379
ааваа	ᠪᠢ	би	8
ааваа	ᠠᠪᠤ ᠪᠠᠨ	ааваа	5
ааваас	ᠨᠢ	нь	13
ааваас	ᠮᠢᠨᠢ	минь	5
ааваасаа	ᠢᠯᠡᠭᠦᠦ	илүү	5
аавд	ᠨᠢ	нь	17
аавд	ᠮᠢᠨᠢ	минь	6
аавдаа	ᠪᠢ	би	13
аавдаа	ᠵᠣᠷᠢᠭᠤᠯᠵᠤ	зориулж	7
аавдаа	ᠬᠠᠶᠢᠷᠠᠲᠠᠢ	хайртай	5
аавтай	ᠨᠢ	нь	17
аавтай	ᠬᠦᠮᠦᠨ	хүн	11
аавтай	ᠮᠢᠨᠢ	минь	6
аавтайгаа	ᠬᠠᠮᠲᠤ	хамт	22
аавууд	ᠬᠡᠦᠬᠡᠳ ᠢᠶᠡᠨ	хүүхдээ	7
аавууд	ᠨᠢ	нь	5
аавыг	ᠮᠢᠨᠢ	минь	36
аавыг	ᠮᠠᠨᠢ	маань	17
аавыг	ᠲᠠᠨᠢ	тань	13
аавыгаа	ᠳᠠᠭᠠᠭᠠᠳ	дагаад	12
аавыгаа	ᠳᠠᠭᠠᠵᠤ	дагаж	10
аавыгаа	ᠰᠠᠨᠠᠭᠠᠳ	санаад	7
аавын	ᠮᠢᠨᠢ	минь	129
аавын	ᠬᠡᠦ	хүү	74
аавын	ᠮᠠᠨᠢ	маань	28
аавынх	ᠨᠢ	нь	70
аавынхаа	ᠲᠤᠬᠠᠢ	тухай	30
аавынхаа	ᠲᠦᠷᠦᠭᠰᠡᠨ	төрсөн	15
аавынхаа	ᠬᠠᠮᠲᠤ	хамт	12
ааг	ᠣᠮᠤᠭ	омог	24
аагим	ᠬᠠᠯᠠᠭᠤᠨ	халуун	23
аагим	ᠬᠠᠯᠠᠭᠤᠨ ᠳᠤ	халуунд	8
аагим	ᠬᠠᠯᠠᠭᠤᠨ ᠢ	халууныг	6
аадар	ᠪᠣᠷᠣᠭ᠎ᠠ	бороо	47
аадар	ᠪᠣᠷᠣᠭᠠᠨ ᠤ	борооны	9
аажим	ᠠᠭᠠᠵᠢᠮ ᠢᠶᠠᠷ	аажмаар	63
аажим	ᠪᠠᠭᠤᠷᠠᠭᠰᠠᠨ	буурсан	5
аажмаар	ᠪᠠᠭᠤᠷᠴᠢ	буурч	12
аажмаар	ᠰᠤᠯᠢᠵᠤ	сольж	6
аажмаар	ᠨᠡᠮᠡᠭᠳᠡᠭᠦᠯᠬᠦ	нэмэгдүүлэх	5
аалз	ᠨᠢ	нь	8
аалзны	ᠲᠣᠷ	тор	41
аалзны	ᠲᠣᠷᠤᠨ ᠳᠤ	торонд	10
аан	ᠡᠭᠦᠳᠡ	үүд	34
аан	ᠡᠶᠢᠨ	ийн	25
аан	ᠲᠡᠶᠢᠮᠦ	тийм	14
аар	ᠬᠡᠯᠡᠯᠴᠡᠵᠦ	хэлэлцэж	170
аар	ᠬᠡᠯᠡᠯᠴᠡᠬᠦ	хэлэлцэх	164
аар	ᠪᠠᠲᠤᠯᠠᠭᠰᠠᠨ	баталсан	75
ааруул	ᠲᠥᠭᠥᠷᠢᠭ	төгрөг	6
ааруул	ᠬᠤᠷᠤᠳ	хурууд	5
аарц	ᠴᠢᠴᠠᠷᠭᠠᠨ᠎ᠠ	чацаргана	8
аарц	ᠬᠢᠷᠠᠮ᠎ᠠ	хярам	7
ааш	ᠵᠠᠩ	зан	39
ааш	ᠠᠪᠤᠷᠢ	авир	33
ааш	ᠠᠶᠠᠭ	аяг	22
аашилж	ᠪᠠᠶᠢᠨ᠎ᠠ	байна	16
аашилж	ᠪᠠᠶᠢᠭ᠎ᠠ	байгаа	11
аашилж	ᠪᠣᠯᠬᠤ ᠦᠭᠡᠢ	болохгүй	5
аашлах	ᠨᠢ	нь	12
аашлах	ᠪᠣᠯᠤᠭᠰᠠᠨ	болсон	5
ааштай	ᠬᠦᠮᠦᠰ	хүмүүс	5
ав	ᠰᠠᠩ	сан	54
ав	ᠭᠡᠵᠦ	гэж	48
ав	ᠭ	г	39
ава	ᠬᠠᠳᠠ	хад	5
аваа	ᠭᠦᠢ	гүй	6
аваа	ᠶᠠᠭᠤ	юу	5
аваагүй	ᠪᠠᠶᠢᠨ᠎ᠠ	байна	100
аваагүй	ᠪᠣᠯ	бол	73
аваагүй	ᠶᠠᠭᠤᠮ᠎ᠠ	юм	63
аваад	ᠪᠠᠶᠢᠭ᠎ᠠ	байгаа	337
аваад	ᠪᠠᠶᠢᠨ᠎ᠠ	байна	296
аваад	ᠯᠠ	л	166
аваарай	ᠭᠡᠵᠦ	гэж	15
аваарай	ᠭᠡᠳ	гээд	10
аваарай	ᠭᠡᠰᠡᠨ	гэсэн	6
аваас	ᠬᠠᠭᠠᠰ	хагас	8
аваас	ᠡᠨᠡ	энэ	6
аваас	ᠶᠠᠮᠠᠷ	ямар	6
аваач	ᠡ	ээ	12
аваач	ᠭᠡᠵᠦ	гэж	11
аваачих	ᠶᠣᠰᠣᠲᠠᠢ	ёстой	6
аваачих	ᠬᠡᠷᠡᠭᠲᠡᠢ	хэрэгтэй	5
аваачих	ᠶᠠᠭᠤᠮ᠎ᠠ	юм	5
авав	ᠭᠦᠢᠯᠭᠡᠭᠡ	гүйлгээ	14
авав	ᠠ	аа	5
авав	ᠭᠡᠳᠡᠭ ᠢ	гэдгийг	5
авагч	ᠨᠢ	нь	57
авагч	ᠪᠣᠯᠬᠤ	болох	15
авагч	ᠣᠯᠠᠨ	олон	15
авалт	ᠬᠢᠬᠦ	хийх	73
авалт	ᠬᠢᠵᠦ	хийж	62
авалт	ᠨᠢ	нь	59
аван	ᠠᠵᠢᠯᠯᠠᠵᠤ	ажиллаж	16
аван	ᠦᠢᠯᠡ	үйл	10
аван	ᠮᠣᠩᠭᠣᠯ ᠤᠨ	монголын	7
авар	ᠭᠠ	га	49
аварга	ᠰᠢᠯᠭᠠᠷᠠᠭᠤᠯᠬᠤ	шалгаруулах	6011
аварга	ᠪᠣᠯᠤᠭᠰᠠᠨ	болсон	503
аварга	ᠭ	г	384
аваргаас	ᠮᠧᠳᠠᠯ	медаль	79
аваргаас	ᠮᠥᠩᠭᠥᠨ	мөнгөн	50
аваргаас	ᠬᠦᠷᠡᠯ	хүрэл	38
аварсан	ᠪᠠᠶᠢᠨ᠎ᠠ	байна	19
аварсан	ᠶᠠᠭᠤᠮ᠎ᠠ	юм	14
аварсан	ᠨᠢ	нь	9
